,File,Mask,TS_Data,date,extent,obs
12,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151101-20151130_75N060W_vcmcfg_v10_c201512121648//SVDNB_npp_20151101-20151130_75N060W_vcmcfg_v10_c201512121648.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151101-20151130_75N060W_vcmcfg_v10_c201512121648//SVDNB_npp_20151101-20151130_75N060W_vcmcfg_v10_c201512121648.cf_cvg.tif,1,11/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
13,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151101-20151130_75N060W_vcmcfg_v10_c201512121648//SVDNB_npp_20151101-20151130_75N060W_vcmcfg_v10_c201512121648.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151101-20151130_75N060W_vcmcfg_v10_c201512121648//SVDNB_npp_20151101-20151130_75N060W_vcmcfg_v10_c201512121648.cf_cvg.tif,0,11/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
14,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20131001-20131031_75N060W_vcmcfg_v10_c201605131331//SVDNB_npp_20131001-20131031_75N060W_vcmcfg_v10_c201605131331.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20131001-20131031_75N060W_vcmcfg_v10_c201605131331//SVDNB_npp_20131001-20131031_75N060W_vcmcfg_v10_c201605131331.cf_cvg.tif,1,10/1/13,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
15,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20131001-20131031_75N060W_vcmcfg_v10_c201605131331//SVDNB_npp_20131001-20131031_75N060W_vcmcfg_v10_c201605131331.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20131001-20131031_75N060W_vcmcfg_v10_c201605131331//SVDNB_npp_20131001-20131031_75N060W_vcmcfg_v10_c201605131331.cf_cvg.tif,0,10/1/13,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
16,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20141001-20141031_75N060W_vcmcfg_v10_c201502231115//SVDNB_npp_20141001-20141031_75N060W_vcmcfg_v10_c201502231115.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20141001-20141031_75N060W_vcmcfg_v10_c201502231115//SVDNB_npp_20141001-20141031_75N060W_vcmcfg_v10_c201502231115.cf_cvg.tif,1,10/1/14,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
17,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20141001-20141031_75N060W_vcmcfg_v10_c201502231115//SVDNB_npp_20141001-20141031_75N060W_vcmcfg_v10_c201502231115.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20141001-20141031_75N060W_vcmcfg_v10_c201502231115//SVDNB_npp_20141001-20141031_75N060W_vcmcfg_v10_c201502231115.cf_cvg.tif,0,10/1/14,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
18,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150601-20150630_75N060W_vcmcfg_v10_c201508141522//SVDNB_npp_20150601-20150630_75N060W_vcmcfg_v10_c201508141522.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150601-20150630_75N060W_vcmcfg_v10_c201508141522//SVDNB_npp_20150601-20150630_75N060W_vcmcfg_v10_c201508141522.cf_cvg.tif,1,6/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
19,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150601-20150630_75N060W_vcmcfg_v10_c201508141522//SVDNB_npp_20150601-20150630_75N060W_vcmcfg_v10_c201508141522.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150601-20150630_75N060W_vcmcfg_v10_c201508141522//SVDNB_npp_20150601-20150630_75N060W_vcmcfg_v10_c201508141522.cf_cvg.tif,0,6/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
20,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140501-20140531_75N060W_vcmcfg_v10_c201502061154//SVDNB_npp_20140501-20140531_75N060W_vcmcfg_v10_c201502061154.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140501-20140531_75N060W_vcmcfg_v10_c201502061154//SVDNB_npp_20140501-20140531_75N060W_vcmcfg_v10_c201502061154.cf_cvg.tif,1,5/1/14,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
21,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140501-20140531_75N060W_vcmcfg_v10_c201502061154//SVDNB_npp_20140501-20140531_75N060W_vcmcfg_v10_c201502061154.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140501-20140531_75N060W_vcmcfg_v10_c201502061154//SVDNB_npp_20140501-20140531_75N060W_vcmcfg_v10_c201502061154.cf_cvg.tif,0,5/1/14,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
22,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20121001-20121031_75N060W_vcmcfg_v10_c201602051401//SVDNB_npp_20121001-20121031_75N060W_vcmcfg_v10_c201602051401.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20121001-20121031_75N060W_vcmcfg_v10_c201602051401//SVDNB_npp_20121001-20121031_75N060W_vcmcfg_v10_c201602051401.cf_cvg.tif,1,10/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
23,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20121001-20121031_75N060W_vcmcfg_v10_c201602051401//SVDNB_npp_20121001-20121031_75N060W_vcmcfg_v10_c201602051401.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20121001-20121031_75N060W_vcmcfg_v10_c201602051401//SVDNB_npp_20121001-20121031_75N060W_vcmcfg_v10_c201602051401.cf_cvg.tif,0,10/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
24,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151001-20151031_75N060W_vcmcfg_v10_c201511181404//SVDNB_npp_20151001-20151031_75N060W_vcmcfg_v10_c201511181404.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151001-20151031_75N060W_vcmcfg_v10_c201511181404//SVDNB_npp_20151001-20151031_75N060W_vcmcfg_v10_c201511181404.cf_cvg.tif,1,10/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
25,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151001-20151031_75N060W_vcmcfg_v10_c201511181404//SVDNB_npp_20151001-20151031_75N060W_vcmcfg_v10_c201511181404.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151001-20151031_75N060W_vcmcfg_v10_c201511181404//SVDNB_npp_20151001-20151031_75N060W_vcmcfg_v10_c201511181404.cf_cvg.tif,0,10/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
26,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120701-20120731_75N060W_vcmcfg_v10_c201605121509//SVDNB_npp_20120701-20120731_75N060W_vcmcfg_v10_c201605121509.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120701-20120731_75N060W_vcmcfg_v10_c201605121509//SVDNB_npp_20120701-20120731_75N060W_vcmcfg_v10_c201605121509.cf_cvg.tif,1,7/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
27,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120701-20120731_75N060W_vcmcfg_v10_c201605121509//SVDNB_npp_20120701-20120731_75N060W_vcmcfg_v10_c201605121509.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120701-20120731_75N060W_vcmcfg_v10_c201605121509//SVDNB_npp_20120701-20120731_75N060W_vcmcfg_v10_c201605121509.cf_cvg.tif,0,7/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
28,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150201-20150228_75N060W_vcmcfg_v10_c201504281504//SVDNB_npp_20150201-20150228_75N060W_vcmcfg_v10_c201504281504.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150201-20150228_75N060W_vcmcfg_v10_c201504281504//SVDNB_npp_20150201-20150228_75N060W_vcmcfg_v10_c201504281504.cf_cvg.tif,1,2/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
29,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150201-20150228_75N060W_vcmcfg_v10_c201504281504//SVDNB_npp_20150201-20150228_75N060W_vcmcfg_v10_c201504281504.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150201-20150228_75N060W_vcmcfg_v10_c201504281504//SVDNB_npp_20150201-20150228_75N060W_vcmcfg_v10_c201504281504.cf_cvg.tif,0,2/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
30,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140101-20140131_75N060W_vcmcfg_v10_c201506171538//SVDNB_npp_20140101-20140131_75N060W_vcmcfg_v10_c201506171538.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140101-20140131_75N060W_vcmcfg_v10_c201506171538//SVDNB_npp_20140101-20140131_75N060W_vcmcfg_v10_c201506171538.cf_cvg.tif,1,1/1/14,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
31,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140101-20140131_75N060W_vcmcfg_v10_c201506171538//SVDNB_npp_20140101-20140131_75N060W_vcmcfg_v10_c201506171538.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20140101-20140131_75N060W_vcmcfg_v10_c201506171538//SVDNB_npp_20140101-20140131_75N060W_vcmcfg_v10_c201506171538.cf_cvg.tif,0,1/1/14,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
