,Unnamed: 0,ID,count,date,geometry,image,max,mean,median,min,percentile_25,percentile_75,std,observations,xdate,Month,SeasonalTrend,Trend,SeasonalForecast,SeasonalError_Pos,SeasonalError_Neg,Anomaly
20,10,1,1754,2017-05-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20170501-20170531_75N180W_vcmcfg_v10_c201706021500//SVDNB_npp_20170501-20170531_75N180W_vcmcfg_v10_c201706021500.avg_rade9_clip.tif,93.88420104980469,28.67980283831789,26.80389404296875,4.152605056762694,17.553702354431152,36.807957649230964,14.846001623567492,11.0,736450.0,5,0.9789135632024085,28.577990639687414,27.975382646261483,30.29371333206451,25.657051960458457,
21,11,1,1754,2017-06-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20170601-20170630_75N180W_vcmcfg_v10_c201707021700//SVDNB_npp_20170601-20170630_75N180W_vcmcfg_v10_c201707021700.avg_rade9_clip.tif,106.3931121826172,28.165891182871203,25.66876983642578,3.789330720901489,16.3054838180542,36.1215763092041,15.4964971427233,8.0,736481.0,6,1.002658454989284,28.452141806013515,28.52778054435353,30.846111230156556,26.209449858550503,
1,12,1,1754,2017-07-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20170701-20170731_75N180W_vcmcfg_v10_c201708061230//SVDNB_npp_20170701-20170731_75N180W_vcmcfg_v10_c201708061230.avg_rade9h_clip.tif,130.61000061035156,27.427941859651998,24.63000011444092,3.440000057220459,16.239999771118164,35.86000061035156,15.282584237017813,13.0,736511.0,7,1.013109927694741,28.330352612135357,28.70176148644697,31.020092172249996,26.383430800643943,
3,13,1,1754,2017-08-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20170801-20170831_75N180W_vcmcfg_v10_c201709051000//SVDNB_npp_20170801-20170831_75N180W_vcmcfg_v10_c201709051000.avg_rade9h_clip.tif,99.12000274658205,25.625216667301437,23.86500072479248,4.0900001525878915,15.890000343322756,32.617499351501465,13.065698440916073,14.0,736542.0,8,0.9999646439812042,28.204503778461003,28.203506579495286,30.521837265298313,25.88517589369226,25.625216667301437
5,14,1,1754,2017-09-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20170901-20170930_75N180W_vcmcfg_v10_c201710041620//SVDNB_npp_20170901-20170930_75N180W_vcmcfg_v10_c201710041620.avg_rade9h_clip.tif,82.05999755859375,19.997445831956718,17.300000190734867,1.4500000476837158,10.614999771118164,25.49749994277954,13.233616878806384,6.0,736573.0,9,0.9965597837168758,28.07865494478665,27.98205829883737,30.300388984640396,25.663727613034343,19.997445831956718
7,15,1,1754,2017-10-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20171001-20171031_75N180W_vcmcfg_v10_c201711021230//SVDNB_npp_20171001-20171031_75N180W_vcmcfg_v10_c201711021230.avg_rade9h_clip.tif,61.29999923706055,8.642805008653088,6.144999980926514,0.9499999880790709,3.369999885559082,11.260000228881836,7.661872012764338,12.0,736603.0,10,1.0251826544594689,27.95686575090849,28.66089384088338,30.979224526686405,26.342563155080352,8.642805008653088
9,16,1,1754,2017-11-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20171101-20171130_75N180W_vcmcfg_v10_c201712040930//SVDNB_npp_20171101-20171130_75N180W_vcmcfg_v10_c201712040930.avg_rade9h_clip.tif,88.55999755859375,15.871408197463849,12.775000095367432,1.0800000429153442,7.210000038146973,21.51000022888184,12.024719129686384,11.0,736634.0,11,0.9303127557916689,27.831016917234138,25.89155004475665,28.209880730559675,23.573219358953622,15.871408197463849
11,17,1,1754,2017-12-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20171201-20171231_75N180W_vcmcfg_v10_c201801021747//SVDNB_npp_20171201-20171231_75N180W_vcmcfg_v10_c201801021747.avg_rade9h_clip.tif,101.33000183105469,19.18382551977273,16.805000305175778,2.059999942779541,10.567500352859495,25.26250028610229,12.080654605142648,16.0,736664.0,12,1.0284236336421975,27.70922772335598,28.49682466067287,30.815155346475898,26.178493974869845,19.18382551977273
13,18,1,1754,2018-01-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20180101-20180131_75N180W_vcmcfg_v10_c201805221252//SVDNB_npp_20180101-20180131_75N180W_vcmcfg_v10_c201805221252.avg_rade9h_clip.tif,87.80000305175781,21.56888255031786,18.93000030517578,2.5299999713897705,12.140000343322756,27.59000015258789,13.065387767489796,13.0,736695.0,1,1.0564158895259572,27.58337888968208,29.139519745875006,31.457850431678033,26.82118906007198,21.56888255031786
15,19,1,1754,2018-02-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20180201-20180228_75N180W_vcmcfg_v10_c201803012000//SVDNB_npp_20180201-20180228_75N180W_vcmcfg_v10_c201803012000.avg_rade9h_clip.tif,103.22000122070312,21.346790205249764,18.979999542236328,3.0,12.789999723434448,27.239999771118164,12.01486171869138,14.0,736726.0,2,0.9373324058706763,27.457530056007727,25.736832706664128,28.055163392467154,23.4185020208611,21.346790205249764
17,20,1,1754,2018-03-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20180301-20180331_75N180W_vcmcfg_v10_c201804022005//SVDNB_npp_20180301-20180331_75N180W_vcmcfg_v10_c201804022005.avg_rade9h_clip.tif,135.16000366210938,26.679435590517837,23.770000457763672,2.940000057220459,15.329999685287476,33.757498741149895,15.957050378398295,15.0,736754.0,3,1.020348810665197,27.343860141721507,27.900275174601024,30.21860586040405,25.581944488797998,
19,21,1,1754,2018-04-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20180401-20180430_75N180W_vcmcfg_v10_c201805021400//SVDNB_npp_20180401-20180430_75N180W_vcmcfg_v10_c201805021400.avg_rade9h_clip.tif,119.27999877929688,24.961698965036746,21.899999618530273,2.7300000190734863,14.530000448226929,31.18250036239624,15.1222708311377,11.0,736785.0,4,1.0284270067390255,27.218011308047153,27.991737898923883,30.31006858472691,25.673407213120857,24.961698965036746
